Timestamp,DO_mgL,Temp_F,Year
2022-08-08 16:15:00,7.77,78.3,2022
2022-08-08 16:25:00,7.69,77.94,2022
2022-08-08 16:35:00,7.64,83.66,2022
2022-08-08 16:45:00,7.46,86.04,2022
2022-08-08 16:55:00,7.42,86.43,2022
2022-08-08 17:05:00,7.6,86.5,2022
2022-08-08 17:15:00,6.85,87.04,2022
2022-08-08 17:25:00,7.73,87.19,2022
2022-08-08 17:35:00,8.24,86.97,2022
2022-08-08 17:45:00,8.06,86.61,2022
2022-08-08 17:55:00,8.03,86.5,2022
2022-08-08 18:05:00,7.54,86.72,2022
2022-08-08 18:15:00,7.9,86.79,2022
2022-08-08 18:25:00,7.94,86.72,2022
2022-08-08 18:35:00,7.82,86.68,2022
2022-08-08 18:45:00,7.74,86.65,2022
2022-08-08 18:55:00,7.57,86.58,2022
2022-08-08 19:05:00,7.91,86.58,2022
2022-08-08 19:15:00,7.79,86.5,2022
2022-08-08 19:25:00,7.77,86.47,2022
2022-08-08 19:35:00,7.74,86.4,2022
2022-08-08 19:45:00,7.41,86.36,2022
2022-08-08 19:55:00,7.43,86.29,2022
2022-08-08 20:05:00,7.51,86.25,2022
2022-08-08 20:15:00,7.52,86.18,2022
2022-08-08 20:25:00,7.42,86.14,2022
2022-08-08 20:35:00,7.41,86.07,2022
2022-08-08 20:45:00,7.22,86.0,2022
2022-08-08 20:55:00,7.21,85.96,2022
2022-08-08 21:05:00,7.08,85.89,2022
2022-08-08 21:15:00,7.04,85.86,2022
2022-08-08 21:25:00,6.95,85.75,2022
2022-08-08 21:35:00,7.13,85.75,2022
2022-08-08 21:45:00,7.12,85.71,2022
2022-08-08 21:55:00,7.1,85.71,2022
2022-08-08 22:05:00,7.0,85.68,2022
2022-08-08 22:15:00,6.98,85.64,2022
2022-08-08 22:25:00,6.91,85.64,2022
2022-08-08 22:35:00,6.9,85.68,2022
2022-08-08 22:45:00,6.84,85.68,2022
2022-08-08 22:55:00,6.8,85.71,2022
2022-08-08 23:05:00,6.78,85.78,2022
2022-08-08 23:15:00,6.59,85.78,2022
2022-08-08 23:25:00,6.71,85.75,2022
2022-08-08 23:35:00,6.56,85.75,2022
2022-08-08 23:45:00,6.4,85.68,2022
2022-08-08 23:55:00,6.28,85.64,2022
2022-08-09 00:05:00,6.3,85.6,2022
2022-08-09 00:15:00,6.13,85.57,2022
2022-08-09 00:25:00,5.99,85.53,2022
2022-08-09 00:35:00,5.95,85.5,2022
2022-08-09 00:45:00,5.89,85.46,2022
2022-08-09 00:55:00,5.79,85.42,2022
2022-08-09 01:05:00,5.74,85.39,2022
2022-08-09 01:15:00,5.64,85.32,2022
2022-08-09 01:25:00,5.39,85.28,2022
2022-08-09 01:35:00,5.46,85.28,2022
2022-08-09 01:45:00,5.56,85.21,2022
2022-08-09 01:55:00,5.53,85.17,2022
2022-08-09 02:05:00,5.54,85.14,2022
2022-08-09 02:15:00,5.53,85.06,2022
2022-08-09 02:25:00,5.52,85.03,2022
2022-08-09 02:35:00,5.51,84.99,2022
2022-08-09 02:45:00,5.49,84.96,2022
2022-08-09 02:55:00,5.49,84.88,2022
2022-08-09 03:05:00,5.5,84.85,2022
2022-08-09 03:15:00,5.4,84.81,2022
2022-08-09 03:25:00,5.36,84.78,2022
2022-08-09 03:35:00,5.32,84.74,2022
2022-08-09 03:45:00,5.35,84.67,2022
2022-08-09 03:55:00,5.32,84.63,2022
2022-08-09 04:05:00,5.19,84.6,2022
2022-08-09 04:15:00,5.12,84.6,2022
2022-08-09 04:25:00,5.07,84.56,2022
2022-08-09 04:35:00,4.95,84.49,2022
2022-08-09 04:45:00,4.89,84.45,2022
2022-08-09 04:55:00,4.88,84.45,2022
2022-08-09 05:05:00,4.81,84.42,2022
2022-08-09 05:15:00,4.78,84.38,2022
2022-08-09 05:25:00,4.69,84.34,2022
2022-08-09 05:35:00,4.58,84.31,2022
2022-08-09 05:45:00,4.48,84.31,2022
2022-08-09 05:55:00,4.31,84.27,2022
2022-08-09 06:05:00,4.24,84.2,2022
2022-08-09 06:15:00,4.16,84.16,2022
2022-08-09 06:25:00,4.1,84.13,2022
2022-08-09 06:35:00,4.3,84.06,2022
2022-08-09 06:45:00,4.65,84.02,2022
2022-08-09 06:55:00,4.67,83.98,2022
2022-08-09 07:05:00,4.66,83.98,2022
2022-08-09 07:15:00,4.77,83.95,2022
2022-08-09 07:25:00,4.84,83.98,2022
2022-08-09 07:35:00,4.86,83.98,2022
2022-08-09 07:45:00,4.96,84.02,2022
