"Plot Title: 21118650"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,08/08/22 04:15:00 PM,7.77,78.30,,,,,
2,08/08/22 04:15:12 PM,,,Logged,,,,
3,08/08/22 04:25:00 PM,7.69,77.94,,,,,
4,08/08/22 04:35:00 PM,7.64,83.66,,,,,
5,08/08/22 04:45:00 PM,7.46,86.04,,,,,
6,08/08/22 04:55:00 PM,7.42,86.43,,,,,
7,08/08/22 05:05:00 PM,7.60,86.50,,,,,
8,08/08/22 05:15:00 PM,6.85,87.04,,,,,
9,08/08/22 05:25:00 PM,7.73,87.19,,,,,
10,08/08/22 05:35:00 PM,8.24,86.97,,,,,
11,08/08/22 05:45:00 PM,8.06,86.61,,,,,
12,08/08/22 05:55:00 PM,8.03,86.50,,,,,
13,08/08/22 06:05:00 PM,7.54,86.72,,,,,
14,08/08/22 06:15:00 PM,7.90,86.79,,,,,
15,08/08/22 06:25:00 PM,7.94,86.72,,,,,
16,08/08/22 06:35:00 PM,7.82,86.68,,,,,
17,08/08/22 06:45:00 PM,7.74,86.65,,,,,
18,08/08/22 06:55:00 PM,7.57,86.58,,,,,
19,08/08/22 07:05:00 PM,7.91,86.58,,,,,
20,08/08/22 07:15:00 PM,7.79,86.50,,,,,
21,08/08/22 07:25:00 PM,7.77,86.47,,,,,
22,08/08/22 07:35:00 PM,7.74,86.40,,,,,
23,08/08/22 07:45:00 PM,7.41,86.36,,,,,
24,08/08/22 07:55:00 PM,7.43,86.29,,,,,
25,08/08/22 08:05:00 PM,7.51,86.25,,,,,
26,08/08/22 08:15:00 PM,7.52,86.18,,,,,
27,08/08/22 08:25:00 PM,7.42,86.14,,,,,
28,08/08/22 08:35:00 PM,7.41,86.07,,,,,
29,08/08/22 08:45:00 PM,7.22,86.00,,,,,
30,08/08/22 08:55:00 PM,7.21,85.96,,,,,
31,08/08/22 09:05:00 PM,7.08,85.89,,,,,
32,08/08/22 09:15:00 PM,7.04,85.86,,,,,
33,08/08/22 09:25:00 PM,6.95,85.75,,,,,
34,08/08/22 09:35:00 PM,7.13,85.75,,,,,
35,08/08/22 09:45:00 PM,7.12,85.71,,,,,
36,08/08/22 09:55:00 PM,7.10,85.71,,,,,
