"Plot Title: 2nd Log9-26-22"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Data Outside Range (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,09/26/22 02:02:19 PM,8.15,73.15,,,,,,
2,09/26/22 02:02:38 PM,,,Logged,,,,,
3,09/26/22 02:12:19 PM,7.93,73.98,,,,,,
4,09/26/22 02:22:19 PM,7.94,74.05,,,,,,
5,09/26/22 02:32:19 PM,7.95,73.94,,,,,,
6,09/26/22 02:42:19 PM,7.96,73.90,,,,,,
7,09/26/22 02:52:19 PM,7.95,73.87,,,,,,
8,09/26/22 03:02:19 PM,7.96,73.83,,,,,,
9,09/26/22 03:12:19 PM,9.00,71.13,,,,,,
10,09/26/22 03:22:19 PM,10.40,64.00,,,,,,
11,09/26/22 03:32:19 PM,10.61,63.10,,,,,,
12,09/26/22 03:42:19 PM,10.74,63.07,,,,,,
13,09/26/22 03:52:19 PM,10.86,63.07,,,,,,
14,09/26/22 04:02:19 PM,10.80,63.07,,,,,,
15,09/26/22 04:12:19 PM,10.65,63.32,,,,,,
16,09/26/22 04:22:19 PM,10.58,63.46,,,,,,
17,09/26/22 04:32:19 PM,10.57,63.39,,,,,,
18,09/26/22 04:42:19 PM,10.59,63.50,,,,,,
19,09/26/22 04:52:19 PM,10.72,63.54,,,,,,
20,09/26/22 05:02:19 PM,10.70,63.57,,,,,,
21,09/26/22 05:12:19 PM,10.66,63.57,,,,,,
22,09/26/22 05:22:19 PM,10.64,63.64,,,,,,
23,09/26/22 05:32:19 PM,10.67,63.64,,,,,,
24,09/26/22 05:42:19 PM,10.64,63.68,,,,,,
25,09/26/22 05:52:19 PM,10.58,63.72,,,,,,
26,09/26/22 06:02:19 PM,10.58,63.57,,,,,,
27,09/26/22 06:12:19 PM,10.45,63.36,,,,,,
28,09/26/22 06:22:19 PM,10.26,63.39,,,,,,
29,09/26/22 06:32:19 PM,10.22,63.39,,,,,,
30,09/26/22 06:42:19 PM,10.45,63.43,,,,,,
31,09/26/22 06:52:19 PM,10.45,63.43,,,,,,
32,09/26/22 07:02:19 PM,10.62,63.50,,,,,,
33,09/26/22 07:12:19 PM,10.56,63.57,,,,,,
34,09/26/22 07:22:19 PM,10.52,63.57,,,,,,
35,09/26/22 07:32:19 PM,10.52,63.54,,,,,,
36,09/26/22 07:42:19 PM,10.53,63.54,,,,,,
37,09/26/22 07:52:19 PM,10.48,63.50,,,,,,
