"Plot Title: Start 8-17-23"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,08/17/23 04:05:43 PM,8.15,76.75,,,,,
2,08/17/23 04:06:00 PM,,,Logged,,,,
3,08/17/23 04:15:43 PM,8.18,77.58,,,,,
4,08/17/23 04:25:43 PM,8.11,78.80,,,,,
5,08/17/23 04:35:43 PM,7.72,78.19,,,,,
6,08/17/23 04:45:43 PM,7.53,78.40,,,,,
7,08/17/23 04:55:43 PM,7.69,77.86,,,,,
8,08/17/23 05:05:43 PM,7.46,77.04,,,,,
9,08/17/23 05:15:43 PM,7.13,76.93,,,,,
10,08/17/23 05:25:43 PM,7.48,76.93,,,,,
11,08/17/23 05:35:43 PM,7.63,76.96,,,,,
12,08/17/23 05:45:43 PM,7.99,77.00,,,,,
13,08/17/23 05:55:43 PM,7.99,77.04,,,,,
14,08/17/23 06:05:43 PM,6.44,76.93,,,,,
15,08/17/23 06:15:43 PM,7.04,76.93,,,,,
16,08/17/23 06:25:43 PM,7.04,76.96,,,,,
17,08/17/23 06:35:43 PM,7.11,76.86,,,,,
18,08/17/23 06:45:43 PM,7.03,76.82,,,,,
19,08/17/23 06:55:43 PM,7.12,76.82,,,,,
20,08/17/23 07:05:43 PM,7.19,76.89,,,,,
21,08/17/23 07:15:43 PM,7.13,76.93,,,,,
22,08/17/23 07:25:43 PM,7.12,76.89,,,,,
23,08/17/23 07:35:43 PM,6.64,76.93,,,,,
24,08/17/23 07:45:43 PM,6.78,77.00,,,,,
25,08/17/23 07:55:43 PM,6.67,77.00,,,,,
26,08/17/23 08:05:43 PM,6.97,77.04,,,,,
27,08/17/23 08:15:43 PM,6.48,77.00,,,,,
28,08/17/23 08:25:43 PM,6.78,77.00,,,,,
29,08/17/23 08:35:43 PM,7.25,77.04,,,,,
30,08/17/23 08:45:43 PM,7.19,77.04,,,,,
31,08/17/23 08:55:43 PM,7.32,77.07,,,,,
32,08/17/23 09:05:43 PM,7.17,77.00,,,,,
33,08/17/23 09:15:43 PM,7.47,77.07,,,,,
34,08/17/23 09:25:43 PM,7.34,77.07,,,,,
35,08/17/23 09:35:43 PM,8.08,77.14,,,,,
36,08/17/23 09:45:43 PM,8.02,77.07,,,,,
37,08/17/23 09:55:43 PM,8.07,77.07,,,,,
38,08/17/23 10:05:43 PM,8.02,77.04,,,,,
39,08/17/23 10:15:43 PM,7.88,77.04,,,,,
40,08/17/23 10:25:43 PM,7.80,77.00,,,,,
41,08/17/23 10:35:43 PM,7.93,77.00,,,,,
42,08/17/23 10:45:43 PM,7.89,77.00,,,,,
43,08/17/23 10:55:43 PM,7.70,77.00,,,,,
44,08/17/23 11:05:43 PM,7.46,76.96,,,,,
45,08/17/23 11:15:43 PM,7.55,76.96,,,,,
46,08/17/23 11:25:43 PM,7.48,76.96,,,,,
47,08/17/23 11:35:43 PM,7.21,76.93,,,,,
48,08/17/23 11:45:43 PM,7.32,76.93,,,,,
49,08/17/23 11:55:43 PM,7.17,76.93,,,,,
50,08/18/23 12:05:43 AM,7.26,76.89,,,,,
51,08/18/23 12:15:43 AM,7.44,76.89,,,,,
52,08/18/23 12:25:43 AM,7.62,76.89,,,,,
53,08/18/23 12:35:43 AM,7.27,76.86,,,,,
54,08/18/23 12:45:43 AM,7.63,76.82,,,,,
55,08/18/23 12:55:43 AM,7.57,76.82,,,,,
56,08/18/23 01:05:43 AM,7.78,76.78,,,,,
57,08/18/23 01:15:43 AM,7.50,76.75,,,,,
58,08/18/23 01:25:43 AM,7.72,76.75,,,,,
59,08/18/23 01:35:43 AM,7.65,76.75,,,,,
60,08/18/23 01:45:43 AM,7.73,76.75,,,,,
61,08/18/23 01:55:43 AM,7.63,76.71,,,,,
62,08/18/23 02:05:43 AM,7.70,76.71,,,,,
63,08/18/23 02:15:43 AM,7.69,76.71,,,,,
64,08/18/23 02:25:43 AM,7.40,76.71,,,,,
65,08/18/23 02:35:43 AM,7.34,76.68,,,,,
66,08/18/23 02:45:43 AM,7.21,76.64,,,,,
67,08/18/23 02:55:43 AM,7.20,76.64,,,,,
68,08/18/23 03:05:43 AM,6.95,76.64,,,,,
69,08/18/23 03:15:43 AM,7.20,76.60,,,,,
70,08/18/23 03:25:43 AM,7.13,76.60,,,,,
71,08/18/23 03:35:43 AM,6.83,76.57,,,,,
72,08/18/23 03:45:43 AM,6.83,76.53,,,,,
73,08/18/23 03:55:43 AM,6.86,76.53,,,,,
74,08/18/23 04:05:43 AM,6.89,76.50,,,,,
75,08/18/23 04:15:43 AM,6.80,76.50,,,,,
76,08/18/23 04:25:43 AM,6.86,76.46,,,,,
77,08/18/23 04:35:43 AM,6.87,76.42,,,,,
78,08/18/23 04:45:43 AM,6.82,76.39,,,,,
79,08/18/23 04:55:43 AM,6.63,76.39,,,,,
80,08/18/23 05:05:43 AM,6.47,76.39,,,,,
81,08/18/23 05:15:43 AM,6.57,76.35,,,,,
82,08/18/23 05:25:43 AM,6.41,76.32,,,,,
83,08/18/23 05:35:43 AM,6.55,76.32,,,,,
84,08/18/23 05:45:43 AM,6.56,76.28,,,,,
85,08/18/23 05:55:43 AM,6.60,76.28,,,,,
86,08/18/23 06:05:43 AM,6.54,76.24,,,,,
87,08/18/23 06:15:43 AM,6.56,76.21,,,,,
88,08/18/23 06:25:43 AM,6.13,76.17,,,,,
89,08/18/23 06:35:43 AM,6.29,75.99,,,,,
90,08/18/23 06:45:43 AM,6.41,75.96,,,,,
91,08/18/23 06:55:43 AM,6.47,75.96,,,,,
92,08/18/23 07:05:43 AM,6.50,75.92,,,,,
93,08/18/23 07:15:43 AM,6.57,75.92,,,,,
94,08/18/23 07:25:43 AM,6.60,75.88,,,,,
95,08/18/23 07:35:43 AM,6.57,75.85,,,,,
96,08/18/23 07:45:43 AM,6.56,75.81,,,,,
97,08/18/23 07:55:43 AM,6.52,75.81,,,,,
98,08/18/23 08:05:43 AM,6.54,75.78,,,,,
99,08/18/23 08:15:43 AM,6.55,75.78,,,,,
100,08/18/23 08:25:43 AM,6.57,75.74,,,,,
101,08/18/23 08:35:43 AM,6.64,75.78,,,,,
102,08/18/23 08:45:43 AM,6.72,75.74,,,,,
103,08/18/23 08:55:43 AM,6.67,75.78,,,,,
104,08/18/23 09:05:43 AM,6.51,75.74,,,,,
105,08/18/23 09:15:43 AM,6.62,75.70,,,,,
106,08/18/23 09:25:43 AM,6.72,75.74,,,,,
107,08/18/23 09:35:43 AM,6.70,75.78,,,,,
108,08/18/23 09:45:43 AM,6.81,75.78,,,,,
109,08/18/23 09:55:43 AM,6.87,75.81,,,,,
