"Plot Title: Start 9-3-23"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,09/03/23 11:43:15 AM,7.61,82.08,,,,
2,09/03/23 11:43:27 AM,,,Logged,,,
3,09/03/23 11:53:15 AM,6.96,93.16,,,,
4,09/03/23 12:03:15 PM,8.47,84.70,,,,
5,09/03/23 12:13:15 PM,9.99,74.95,,,,
6,09/03/23 12:23:15 PM,10.23,73.83,,,,
7,09/03/23 12:33:15 PM,10.33,73.62,,,,
8,09/03/23 12:43:15 PM,10.30,73.65,,,,
9,09/03/23 12:53:15 PM,10.26,73.72,,,,
10,09/03/23 01:03:15 PM,10.51,74.05,,,,
11,09/03/23 01:13:15 PM,10.48,74.62,,,,
12,09/03/23 01:23:15 PM,10.40,74.62,,,,
13,09/03/23 01:33:15 PM,10.33,74.62,,,,
14,09/03/23 01:43:15 PM,10.24,74.77,,,,
15,09/03/23 01:53:15 PM,9.88,75.74,,,,
16,09/03/23 02:03:15 PM,10.42,76.35,,,,
17,09/03/23 02:13:15 PM,10.40,76.60,,,,
18,09/03/23 02:23:15 PM,10.51,76.64,,,,
19,09/03/23 02:33:15 PM,10.39,76.57,,,,
20,09/03/23 02:43:15 PM,10.45,76.75,,,,
21,09/03/23 02:53:15 PM,10.49,76.89,,,,
22,09/03/23 03:03:15 PM,9.70,76.39,,,,
23,09/03/23 03:13:15 PM,9.57,75.42,,,,
24,09/03/23 03:23:15 PM,9.83,74.70,,,,
25,09/03/23 03:33:15 PM,9.92,74.37,,,,
26,09/03/23 03:43:15 PM,10.15,74.41,,,,
27,09/03/23 03:53:15 PM,10.30,74.23,,,,
28,09/03/23 04:03:15 PM,10.32,74.01,,,,
29,09/03/23 04:13:15 PM,10.31,73.87,,,,
30,09/03/23 04:23:15 PM,10.49,73.94,,,,
31,09/03/23 04:33:15 PM,10.36,74.41,,,,
32,09/03/23 04:43:15 PM,10.56,74.48,,,,
33,09/03/23 04:53:15 PM,10.77,74.34,,,,
34,09/03/23 05:03:15 PM,10.40,74.23,,,,
35,09/03/23 05:13:15 PM,10.65,74.16,,,,
36,09/03/23 05:23:15 PM,10.76,74.16,,,,
37,09/03/23 05:33:15 PM,10.79,74.12,,,,
38,09/03/23 05:43:15 PM,10.91,74.12,,,,
39,09/03/23 05:53:15 PM,10.74,74.08,,,,
40,09/03/23 06:03:15 PM,10.61,74.05,,,,
41,09/03/23 06:13:15 PM,10.72,74.08,,,,
42,09/03/23 06:23:15 PM,10.82,74.12,,,,
43,09/03/23 06:33:15 PM,10.95,74.16,,,,
44,09/03/23 06:43:15 PM,10.75,74.23,,,,
45,09/03/23 06:53:15 PM,10.60,74.26,,,,
