"Plot Title: 4-16-24"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,04/16/24 03:46:54 PM,5.17,69.01,,,,,
2,04/16/24 03:47:15 PM,,,Logged,,,,
3,04/16/24 03:55:09 PM,,,Logged,,,,
4,04/16/24 04:01:54 PM,9.43,70.09,,,,,
5,04/16/24 04:16:54 PM,15.19,57.70,,,,,
6,04/16/24 04:31:54 PM,15.62,57.06,,,,,
7,04/16/24 04:46:54 PM,15.50,57.13,,,,,
8,04/16/24 05:01:54 PM,15.49,57.20,,,,,
9,04/16/24 05:16:54 PM,15.53,57.16,,,,,
10,04/16/24 05:31:54 PM,15.54,57.20,,,,,
11,04/16/24 05:46:54 PM,15.60,57.24,,,,,
12,04/16/24 06:01:54 PM,15.58,57.27,,,,,
13,04/16/24 06:16:54 PM,15.60,57.34,,,,,
14,04/16/24 06:31:54 PM,15.58,57.31,,,,,
15,04/16/24 06:46:54 PM,15.63,57.27,,,,,
16,04/16/24 07:01:54 PM,15.62,57.20,,,,,
17,04/16/24 07:16:54 PM,15.60,57.16,,,,,
18,04/16/24 07:31:54 PM,15.68,57.02,,,,,
19,04/16/24 07:46:54 PM,15.71,56.95,,,,,
20,04/16/24 08:01:54 PM,15.82,56.84,,,,,
21,04/16/24 08:16:54 PM,15.73,56.95,,,,,
22,04/16/24 08:31:54 PM,15.86,56.73,,,,,
23,04/16/24 08:46:54 PM,15.84,56.70,,,,,
24,04/16/24 09:01:54 PM,15.86,56.62,,,,,
25,04/16/24 09:16:54 PM,16.12,56.55,,,,,
26,04/16/24 09:31:54 PM,16.19,56.48,,,,,
27,04/16/24 09:46:54 PM,16.40,56.41,,,,,
28,04/16/24 10:01:54 PM,16.53,56.41,,,,,
29,04/16/24 10:16:54 PM,16.46,56.44,,,,,
30,04/16/24 10:31:54 PM,15.85,56.59,,,,,
31,04/16/24 10:46:54 PM,16.01,56.55,,,,,
32,04/16/24 11:01:54 PM,16.27,56.37,,,,,
33,04/16/24 11:16:54 PM,15.81,56.41,,,,,
34,04/16/24 11:31:54 PM,15.80,56.23,,,,,
35,04/16/24 11:46:54 PM,15.93,56.08,,,,,
36,04/17/24 12:01:54 AM,15.97,55.98,,,,,
37,04/17/24 12:16:54 AM,16.04,55.90,,,,,
38,04/17/24 12:31:54 AM,16.03,55.87,,,,,
39,04/17/24 12:46:54 AM,16.06,55.80,,,,,
40,04/17/24 01:01:54 AM,16.10,55.76,,,,,
41,04/17/24 01:16:54 AM,16.16,55.69,,,,,
42,04/17/24 01:31:54 AM,16.17,55.65,,,,,
43,04/17/24 01:46:54 AM,16.07,55.65,,,,,
44,04/17/24 02:01:54 AM,16.11,55.62,,,,,
45,04/17/24 02:16:54 AM,16.04,55.62,,,,,
46,04/17/24 02:31:54 AM,16.16,55.54,,,,,
47,04/17/24 02:46:54 AM,16.33,55.33,,,,,
48,04/17/24 03:01:54 AM,16.16,55.15,,,,,
49,04/17/24 03:16:54 AM,16.21,55.08,,,,,
50,04/17/24 03:31:54 AM,16.15,55.08,,,,,
51,04/17/24 03:46:54 AM,16.15,55.04,,,,,
52,04/17/24 04:01:54 AM,16.16,55.00,,,,,
