"Plot Title: 8-17-24"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Expired Sensor Cap (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,08/17/24 09:48:42 AM,9.46,76.71,,,,,,
2,08/17/24 09:48:47 AM,,,Logged,,,,,
3,08/17/24 10:03:42 AM,3.09,76.78,,,,,,
4,08/17/24 10:18:42 AM,3.03,76.42,,,,,,
5,08/17/24 10:33:42 AM,2.10,76.32,,,,,,
6,08/17/24 10:48:42 AM,1.81,76.24,,,,,,
7,08/17/24 11:03:42 AM,1.60,76.21,,,,,,
8,08/17/24 11:18:42 AM,1.75,76.24,,,,,,
9,08/17/24 11:33:42 AM,2.38,76.35,,,,,,
10,08/17/24 11:48:42 AM,1.29,76.24,,,,,,
11,08/17/24 12:03:42 PM,0.48,76.10,,,,,,
12,08/17/24 12:18:42 PM,0.48,76.06,,,,,,
13,08/17/24 12:33:42 PM,0.70,76.14,,,,,,
14,08/17/24 12:48:42 PM,4.08,76.35,,,,,,
15,08/17/24 01:03:42 PM,4.13,76.53,,,,,,
16,08/17/24 01:18:42 PM,2.91,76.50,,,,,,
17,08/17/24 01:33:42 PM,1.34,76.35,,,,,,
18,08/17/24 01:48:42 PM,4.19,76.46,,,,,,
19,08/17/24 02:03:42 PM,0.92,76.35,,,,,,
20,08/17/24 02:18:42 PM,1.31,76.35,,,,,,
21,08/17/24 02:33:42 PM,6.15,76.71,,,,,,
22,08/17/24 02:48:42 PM,5.62,76.82,,,,,,
23,08/17/24 03:03:42 PM,8.19,76.96,,,,,,
24,08/17/24 03:18:42 PM,9.04,77.00,,,,,,
25,08/17/24 03:33:42 PM,10.89,77.11,,,,,,
26,08/17/24 03:48:42 PM,12.28,77.32,,,,,,
27,08/17/24 04:03:42 PM,10.66,77.40,,,,,,
28,08/17/24 04:18:42 PM,10.33,77.50,,,,,,
29,08/17/24 04:33:42 PM,10.33,77.40,,,,,,
30,08/17/24 04:48:42 PM,11.31,77.36,,,,,,
31,08/17/24 05:03:42 PM,11.45,77.36,,,,,,
32,08/17/24 05:18:42 PM,9.68,77.32,,,,,,
33,08/17/24 05:33:42 PM,9.17,77.29,,,,,,
34,08/17/24 05:48:42 PM,8.04,77.22,,,,,,
35,08/17/24 06:03:42 PM,8.41,77.22,,,,,,
36,08/17/24 06:18:42 PM,8.23,77.32,,,,,,
37,08/17/24 06:33:42 PM,8.62,77.40,,,,,,
38,08/17/24 06:48:42 PM,9.11,77.43,,,,,,
39,08/17/24 07:03:42 PM,6.63,77.32,,,,,,
40,08/17/24 07:18:42 PM,7.50,77.32,,,,,,
41,08/17/24 07:33:42 PM,7.28,77.25,,,,,,
42,08/17/24 07:48:42 PM,5.38,77.14,,,,,,
43,08/17/24 08:03:42 PM,6.36,77.14,,,,,,
44,08/17/24 08:18:42 PM,4.40,77.04,,,,,,
45,08/17/24 08:33:42 PM,6.13,77.14,,,,,,
46,08/17/24 08:48:42 PM,14.69,77.36,,,,,,
47,08/17/24 09:03:42 PM,13.46,77.32,,,,,,
48,08/17/24 09:18:42 PM,14.50,77.32,,,,,,
49,08/17/24 09:33:42 PM,13.14,77.29,,,,,,
50,08/17/24 09:48:42 PM,11.14,77.25,,,,,,
51,08/17/24 10:03:42 PM,9.96,77.22,,,,,,
52,08/17/24 10:18:42 PM,8.56,77.22,,,,,,
53,08/17/24 10:33:42 PM,11.98,77.25,,,,,,
54,08/17/24 10:48:42 PM,7.01,77.07,,,,,,
55,08/17/24 11:03:42 PM,12.57,77.18,,,,,,
56,08/17/24 11:18:42 PM,13.01,77.18,,,,,,
57,08/17/24 11:33:42 PM,12.27,77.14,,,,,,
58,08/17/24 11:48:42 PM,11.59,77.07,,,,,,
59,08/18/24 12:03:42 AM,12.81,77.04,,,,,,
60,08/18/24 12:18:42 AM,10.19,77.00,,,,,,
61,08/18/24 12:33:42 AM,10.65,77.00,,,,,,
62,08/18/24 12:48:42 AM,11.33,76.96,,,,,,
63,08/18/24 01:03:42 AM,9.75,76.93,,,,,,
64,08/18/24 01:18:42 AM,11.05,76.93,,,,,,
65,08/18/24 01:33:42 AM,10.35,76.89,,,,,,
66,08/18/24 01:48:42 AM,9.85,76.89,,,,,,
67,08/18/24 02:03:42 AM,9.94,76.86,,,,,,
68,08/18/24 02:18:42 AM,7.97,76.82,,,,,,
69,08/18/24 02:33:42 AM,10.23,76.78,,,,,,
70,08/18/24 02:48:42 AM,11.03,76.75,,,,,,
71,08/18/24 03:03:42 AM,11.35,76.71,,,,,,
72,08/18/24 03:18:42 AM,11.84,76.68,,,,,,
73,08/18/24 03:33:42 AM,10.66,76.68,,,,,,
74,08/18/24 03:48:42 AM,10.53,76.68,,,,,,
75,08/18/24 04:03:42 AM,10.61,76.64,,,,,,
76,08/18/24 04:18:42 AM,11.10,76.57,,,,,,
77,08/18/24 04:33:42 AM,11.14,76.50,,,,,,
78,08/18/24 04:48:42 AM,10.89,76.46,,,,,,
79,08/18/24 05:03:42 AM,10.28,76.39,,,,,,
80,08/18/24 05:18:42 AM,9.83,76.39,,,,,,
81,08/18/24 05:33:42 AM,9.61,76.35,,,,,,
82,08/18/24 05:48:42 AM,9.59,76.35,,,,,,
83,08/18/24 06:03:42 AM,9.28,76.32,,,,,,
84,08/18/24 06:18:42 AM,9.00,76.32,,,,,,
85,08/18/24 06:33:42 AM,9.05,76.28,,,,,,
86,08/18/24 06:48:42 AM,8.19,76.28,,,,,,
87,08/18/24 07:03:42 AM,8.40,76.24,,,,,,
88,08/18/24 07:18:42 AM,8.28,76.24,,,,,,
89,08/18/24 07:33:42 AM,8.33,76.21,,,,,,
90,08/18/24 07:48:42 AM,8.37,76.17,,,,,,
91,08/18/24 08:03:42 AM,8.85,76.14,,,,,,
92,08/18/24 08:18:42 AM,8.40,76.14,,,,,,
93,08/18/24 08:33:42 AM,8.43,76.14,,,,,,
94,08/18/24 08:48:42 AM,8.50,76.10,,,,,,
95,08/18/24 09:03:42 AM,8.49,76.10,,,,,,
96,08/18/24 09:18:42 AM,8.45,76.06,,,,,,
97,08/18/24 09:33:42 AM,8.43,76.06,,,,,,
98,08/18/24 09:48:42 AM,8.67,76.06,,,,,,
99,08/18/24 10:03:42 AM,8.67,76.03,,,,,,
100,08/18/24 10:18:42 AM,8.67,76.03,,,,,,
101,08/18/24 10:33:42 AM,8.88,76.03,,,,,,
102,08/18/24 10:48:42 AM,8.96,76.03,,,,,,
103,08/18/24 11:03:42 AM,8.79,75.99,,,,,,
104,08/18/24 11:18:42 AM,8.75,75.99,,,,,,
105,08/18/24 11:33:42 AM,8.76,75.99,,,,,,
106,08/18/24 11:48:42 AM,9.18,75.99,,,,,,
107,08/18/24 12:03:42 PM,8.79,75.96,,,,,,
108,08/18/24 12:18:42 PM,8.65,75.99,,,,,,
109,08/18/24 12:33:42 PM,9.04,76.03,,,,,,
110,08/18/24 12:48:42 PM,9.04,76.03,,,,,,
111,08/18/24 01:03:42 PM,9.40,76.03,,,,,,
112,08/18/24 01:18:42 PM,9.61,76.06,,,,,,
113,08/18/24 01:33:42 PM,9.74,76.10,,,,,,
114,08/18/24 01:48:42 PM,9.84,76.14,,,,,,
115,08/18/24 02:03:42 PM,9.70,76.14,,,,,,
116,08/18/24 02:18:42 PM,8.17,76.03,,,,,,
117,08/18/24 02:33:42 PM,8.24,75.96,,,,,,
118,08/18/24 02:48:42 PM,8.41,75.92,,,,,,
119,08/18/24 03:03:42 PM,8.61,75.99,,,,,,
120,08/18/24 03:18:42 PM,7.67,76.03,,,,,,
121,08/18/24 03:33:42 PM,7.17,75.96,,,,,,
122,08/18/24 03:48:42 PM,7.61,76.03,,,,,,
123,08/18/24 04:03:42 PM,7.83,76.10,,,,,,
124,08/18/24 04:18:42 PM,8.59,76.24,,,,,,
125,08/18/24 04:33:42 PM,10.49,76.57,,,,,,
126,08/18/24 04:48:42 PM,11.05,76.64,,,,,,
