"Plot Title: DOLogger2"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20906876, SEN S/N: 20906876)","Temp, °F (LGR S/N: 20906876, SEN S/N: 20906876)","Coupler Detached (LGR S/N: 20906876)","Coupler Attached (LGR S/N: 20906876)","Host Connected (LGR S/N: 20906876)","Stopped (LGR S/N: 20906876)","End Of File (LGR S/N: 20906876)"
1,09/29/24 04:44:40 PM,8.73,73.22,,,,,
2,09/29/24 04:44:45 PM,,,Logged,,,,
3,09/29/24 04:59:40 PM,8.81,69.33,,,,,
4,09/29/24 05:14:40 PM,9.19,66.78,,,,,
5,09/29/24 05:29:40 PM,9.29,66.60,,,,,
6,09/29/24 05:44:40 PM,9.30,66.92,,,,,
7,09/29/24 05:59:40 PM,9.43,67.89,,,,,
8,09/29/24 06:14:40 PM,9.44,67.96,,,,,
9,09/29/24 06:29:40 PM,9.72,67.96,,,,,
10,09/29/24 06:44:40 PM,9.62,67.96,,,,,
11,09/29/24 06:59:40 PM,8.45,67.82,,,,,
12,09/29/24 07:14:40 PM,8.22,67.75,,,,,
13,09/29/24 07:29:40 PM,8.11,67.71,,,,,
14,09/29/24 07:44:40 PM,7.99,67.64,,,,,
15,09/29/24 07:59:40 PM,8.27,67.64,,,,,
16,09/29/24 08:14:40 PM,7.44,67.42,,,,,
17,09/29/24 08:29:40 PM,7.30,67.32,,,,,
18,09/29/24 08:44:40 PM,7.11,67.24,,,,,
19,09/29/24 08:59:40 PM,7.02,67.21,,,,,
20,09/29/24 09:14:40 PM,7.18,67.32,,,,,
21,09/29/24 09:29:40 PM,7.14,67.32,,,,,
22,09/29/24 09:44:40 PM,8.39,67.42,,,,,
23,09/29/24 09:59:40 PM,7.91,67.39,,,,,
24,09/29/24 10:14:40 PM,7.64,67.32,,,,,
25,09/29/24 10:29:40 PM,8.53,67.39,,,,,
26,09/29/24 10:44:40 PM,9.07,67.39,,,,,
27,09/29/24 10:59:40 PM,8.81,67.35,,,,,
28,09/29/24 11:14:40 PM,9.22,67.35,,,,,
29,09/29/24 11:29:40 PM,8.76,67.28,,,,,
30,09/29/24 11:44:40 PM,9.20,67.28,,,,,
31,09/29/24 11:59:40 PM,9.04,67.24,,,,,
32,09/30/24 12:14:40 AM,9.14,67.21,,,,,
33,09/30/24 12:29:40 AM,9.06,67.17,,,,,
34,09/30/24 12:44:40 AM,8.77,67.14,,,,,
35,09/30/24 12:59:40 AM,8.85,67.10,,,,,
36,09/30/24 01:14:40 AM,8.74,67.06,,,,,
37,09/30/24 01:29:40 AM,8.33,67.03,,,,,
38,09/30/24 01:44:40 AM,8.67,66.99,,,,,
39,09/30/24 01:59:40 AM,8.04,66.88,,,,,
40,09/30/24 02:14:40 AM,7.81,66.85,,,,,
41,09/30/24 02:29:40 AM,8.00,66.78,,,,,
42,09/30/24 02:44:40 AM,8.18,66.74,,,,,
43,09/30/24 02:59:40 AM,7.66,66.70,,,,,
44,09/30/24 03:14:40 AM,7.80,66.67,,,,,
45,09/30/24 03:29:40 AM,7.52,66.67,,,,,
46,09/30/24 03:44:40 AM,7.68,66.60,,,,,
47,09/30/24 03:59:40 AM,7.71,66.56,,,,,
48,09/30/24 04:14:40 AM,7.74,66.52,,,,,
49,09/30/24 04:29:40 AM,7.55,66.49,,,,,
50,09/30/24 04:44:40 AM,7.53,66.45,,,,,
51,09/30/24 04:59:40 AM,6.72,66.42,,,,,
52,09/30/24 05:14:40 AM,7.15,66.34,,,,,
53,09/30/24 05:29:40 AM,7.11,66.27,,,,,
54,09/30/24 05:44:40 AM,6.94,66.20,,,,,
55,09/30/24 05:59:40 AM,5.69,66.16,,,,,
56,09/30/24 06:14:40 AM,6.20,66.13,,,,,
57,09/30/24 06:29:40 AM,6.58,66.09,,,,,
58,09/30/24 06:44:40 AM,6.42,66.06,,,,,
59,09/30/24 06:59:40 AM,6.38,66.02,,,,,
60,09/30/24 07:14:40 AM,6.35,65.98,,,,,
61,09/30/24 07:29:40 AM,6.74,65.95,,,,,
62,09/30/24 07:44:40 AM,6.81,65.91,,,,,
63,09/30/24 07:59:40 AM,6.86,65.88,,,,,
64,09/30/24 08:14:40 AM,6.59,65.88,,,,,
65,09/30/24 08:29:40 AM,7.21,65.84,,,,,
66,09/30/24 08:44:40 AM,6.73,65.84,,,,,
67,09/30/24 08:59:40 AM,7.08,65.84,,,,,
68,09/30/24 09:14:40 AM,7.29,65.80,,,,,
69,09/30/24 09:29:40 AM,7.38,65.84,,,,,
70,09/30/24 09:44:40 AM,7.40,65.84,,,,,
71,09/30/24 09:59:40 AM,6.36,65.88,,,,,
72,09/30/24 10:14:40 AM,5.97,65.91,,,,,
73,09/30/24 10:29:40 AM,6.37,65.95,,,,,
74,09/30/24 10:44:40 AM,6.64,65.91,,,,,
75,09/30/24 10:59:40 AM,6.33,65.88,,,,,
76,09/30/24 11:14:40 AM,6.85,65.88,,,,,
77,09/30/24 11:29:40 AM,6.67,65.95,,,,,
78,09/30/24 11:44:40 AM,6.79,65.98,,,,,
79,09/30/24 11:59:40 AM,6.67,65.98,,,,,
80,09/30/24 12:14:40 PM,6.79,65.98,,,,,
81,09/30/24 12:29:40 PM,7.10,65.98,,,,,
82,09/30/24 12:44:40 PM,7.24,66.13,,,,,
83,09/30/24 12:59:40 PM,7.27,66.16,,,,,
84,09/30/24 01:14:40 PM,7.67,66.20,,,,,
85,09/30/24 01:29:40 PM,7.64,66.24,,,,,
86,09/30/24 01:44:40 PM,8.18,66.31,,,,,
87,09/30/24 01:59:40 PM,8.56,66.38,,,,,
88,09/30/24 02:14:40 PM,8.50,66.42,,,,,
89,09/30/24 02:29:40 PM,8.63,66.42,,,,,
90,09/30/24 02:44:40 PM,8.57,66.42,,,,,
91,09/30/24 02:59:40 PM,8.53,66.38,,,,,
92,09/30/24 03:14:40 PM,8.31,66.34,,,,,
93,09/30/24 03:29:40 PM,8.61,66.45,,,,,
94,09/30/24 03:44:40 PM,8.57,66.49,,,,,
95,09/30/24 03:59:40 PM,8.37,66.38,,,,,
96,09/30/24 04:14:40 PM,8.13,66.34,,,,,
97,09/30/24 04:29:40 PM,8.48,66.42,,,,,
98,09/30/24 04:44:40 PM,8.55,66.49,,,,,
99,09/30/24 04:59:40 PM,8.63,66.63,,,,,
100,09/30/24 05:14:40 PM,8.73,66.78,,,,,
101,09/30/24 05:29:40 PM,8.79,66.96,,,,,
102,09/30/24 05:44:40 PM,8.84,67.24,,,,,
