"Plot Title: 6-13-25 at EMF"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,06/13/25 11:01:09 AM,7.75,83.12,,,,
2,06/13/25 11:02:01 AM,,,Logged,,,
3,06/13/25 11:16:09 AM,8.04,81.64,,,,
4,06/13/25 11:31:09 AM,9.31,75.24,,,,
5,06/13/25 11:46:09 AM,10.02,73.83,,,,
6,06/13/25 12:01:09 PM,10.10,73.72,,,,
7,06/13/25 12:16:09 PM,10.36,73.80,,,,
8,06/13/25 12:31:09 PM,11.04,73.98,,,,
9,06/13/25 12:46:09 PM,11.16,74.05,,,,
10,06/13/25 01:01:09 PM,10.14,74.30,,,,
11,06/13/25 01:16:09 PM,10.14,74.55,,,,
12,06/13/25 01:31:09 PM,10.20,74.62,,,,
13,06/13/25 01:46:09 PM,10.32,74.66,,,,
14,06/13/25 02:01:09 PM,9.45,74.05,,,,
15,06/13/25 02:16:09 PM,10.31,73.72,,,,
16,06/13/25 02:31:09 PM,10.64,73.87,,,,
17,06/13/25 02:46:09 PM,10.76,74.01,,,,
18,06/13/25 03:01:09 PM,10.72,74.01,,,,
19,06/13/25 03:16:09 PM,10.40,73.98,,,,
20,06/13/25 03:31:09 PM,10.48,74.01,,,,
21,06/13/25 03:46:09 PM,10.34,74.05,,,,
22,06/13/25 04:01:09 PM,10.56,74.12,,,,
23,06/13/25 04:16:09 PM,10.66,74.23,,,,
24,06/13/25 04:31:09 PM,10.83,74.30,,,,
25,06/13/25 04:46:09 PM,10.77,74.30,,,,
26,06/13/25 05:01:09 PM,10.68,74.34,,,,
27,06/13/25 05:16:09 PM,10.58,74.30,,,,
28,06/13/25 05:31:09 PM,10.58,74.34,,,,
29,06/13/25 05:46:09 PM,10.45,74.19,,,,
30,06/13/25 06:01:09 PM,10.39,74.19,,,,
31,06/13/25 06:16:09 PM,10.36,74.16,,,,
32,06/13/25 06:31:09 PM,10.35,74.12,,,,
33,06/13/25 06:46:09 PM,10.30,74.05,,,,
34,06/13/25 07:01:09 PM,10.16,74.05,,,,
35,06/13/25 07:16:09 PM,10.27,74.05,,,,
36,06/13/25 07:31:09 PM,10.18,74.08,,,,
37,06/13/25 07:46:09 PM,10.22,74.05,,,,
38,06/13/25 08:01:09 PM,10.23,73.98,,,,
39,06/13/25 08:16:09 PM,10.26,74.01,,,,
40,06/13/25 08:31:09 PM,10.78,74.01,,,,
41,06/13/25 08:46:09 PM,10.63,74.05,,,,
42,06/13/25 09:01:09 PM,10.41,74.08,,,,
43,06/13/25 09:16:09 PM,10.37,74.12,,,,
44,06/13/25 09:31:09 PM,10.38,74.16,,,,
45,06/13/25 09:46:09 PM,10.42,74.16,,,,
46,06/13/25 10:01:09 PM,10.50,74.23,,,,
47,06/13/25 10:16:09 PM,10.45,74.26,,,,
48,06/13/25 10:31:09 PM,10.52,74.37,,,,
49,06/13/25 10:46:09 PM,10.62,74.55,,,,
50,06/13/25 11:01:09 PM,10.58,74.70,,,,
51,06/13/25 11:16:09 PM,10.71,74.70,,,,
52,06/13/25 11:31:09 PM,10.82,74.66,,,,
53,06/13/25 11:46:09 PM,10.97,74.66,,,,
54,06/14/25 12:01:09 AM,10.94,74.62,,,,
55,06/14/25 12:16:09 AM,10.95,74.59,,,,
56,06/14/25 12:31:09 AM,11.14,74.55,,,,
57,06/14/25 12:46:09 AM,11.20,74.48,,,,
58,06/14/25 01:01:09 AM,11.06,74.44,,,,
59,06/14/25 01:16:09 AM,11.24,74.37,,,,
60,06/14/25 01:31:09 AM,11.12,74.30,,,,
61,06/14/25 01:46:09 AM,10.97,74.23,,,,
62,06/14/25 02:01:09 AM,11.47,74.19,,,,
63,06/14/25 02:16:09 AM,10.71,74.08,,,,
64,06/14/25 02:31:09 AM,11.66,74.05,,,,
65,06/14/25 02:46:09 AM,11.32,74.08,,,,
66,06/14/25 03:01:09 AM,10.93,74.16,,,,
67,06/14/25 03:16:09 AM,10.62,74.16,,,,
68,06/14/25 03:31:09 AM,10.61,74.16,,,,
69,06/14/25 03:46:09 AM,10.47,74.16,,,,
70,06/14/25 04:01:09 AM,10.60,74.08,,,,
71,06/14/25 04:16:09 AM,10.54,74.12,,,,
72,06/14/25 04:31:09 AM,10.45,74.05,,,,
73,06/14/25 04:46:09 AM,10.15,74.01,,,,
74,06/14/25 05:01:09 AM,10.36,73.98,,,,
75,06/14/25 05:16:09 AM,10.47,73.90,,,,
76,06/14/25 05:31:09 AM,10.40,73.87,,,,
77,06/14/25 05:46:09 AM,10.21,73.83,,,,
78,06/14/25 06:01:09 AM,10.09,73.80,,,,
79,06/14/25 06:16:09 AM,10.18,73.72,,,,
80,06/14/25 06:31:09 AM,10.13,73.69,,,,
81,06/14/25 06:46:09 AM,10.02,73.65,,,,
82,06/14/25 07:01:09 AM,9.98,73.62,,,,
83,06/14/25 07:16:09 AM,10.11,73.62,,,,
84,06/14/25 07:31:09 AM,10.02,73.58,,,,
85,06/14/25 07:46:09 AM,9.78,73.54,,,,
86,06/14/25 08:01:09 AM,9.52,73.51,,,,
87,06/14/25 08:16:09 AM,9.42,73.47,,,,
88,06/14/25 08:31:09 AM,9.93,73.44,,,,
89,06/14/25 08:46:09 AM,9.79,73.44,,,,
90,06/14/25 09:01:09 AM,9.93,73.40,,,,
91,06/14/25 09:16:09 AM,9.95,73.36,,,,
92,06/14/25 09:31:09 AM,9.90,73.36,,,,
93,06/14/25 09:46:09 AM,9.99,73.33,,,,
94,06/14/25 10:01:09 AM,9.97,73.33,,,,
95,06/14/25 10:16:09 AM,9.70,73.26,,,,
96,06/14/25 10:31:09 AM,9.88,73.22,,,,
97,06/14/25 10:46:09 AM,10.01,73.22,,,,
98,06/14/25 11:01:09 AM,9.98,73.18,,,,
99,06/14/25 11:16:09 AM,9.92,73.18,,,,
100,06/14/25 11:31:09 AM,10.04,73.18,,,,
101,06/14/25 11:46:09 AM,9.99,73.22,,,,
102,06/14/25 12:01:09 PM,10.13,73.26,,,,
103,06/14/25 12:16:09 PM,10.04,73.22,,,,
104,06/14/25 12:31:09 PM,9.98,73.22,,,,
105,06/14/25 12:46:09 PM,9.98,73.18,,,,
106,06/14/25 01:01:09 PM,10.09,73.26,,,,
107,06/14/25 01:16:09 PM,10.08,73.22,,,,
108,06/14/25 01:31:09 PM,10.10,73.26,,,,
109,06/14/25 01:46:09 PM,10.15,73.33,,,,
110,06/14/25 02:01:09 PM,9.94,73.29,,,,
111,06/14/25 02:16:09 PM,9.86,73.29,,,,
112,06/14/25 02:31:09 PM,9.88,73.22,,,,
113,06/14/25 02:46:09 PM,10.14,73.11,,,,
114,06/14/25 03:01:09 PM,10.28,73.11,,,,
115,06/14/25 03:16:09 PM,9.94,73.11,,,,
116,06/14/25 03:31:09 PM,10.11,73.15,,,,
117,06/14/25 03:46:09 PM,10.22,73.18,,,,
118,06/14/25 04:01:09 PM,10.34,73.18,,,,
119,06/14/25 04:16:09 PM,10.46,73.22,,,,
120,06/14/25 04:31:09 PM,10.35,73.29,,,,
121,06/14/25 04:46:09 PM,10.41,73.33,,,,
122,06/14/25 05:01:09 PM,10.38,73.40,,,,
123,06/14/25 05:16:09 PM,10.32,73.44,,,,
124,06/14/25 05:31:09 PM,10.26,73.40,,,,
125,06/14/25 05:46:09 PM,10.38,73.44,,,,
126,06/14/25 06:01:09 PM,10.55,73.44,,,,
127,06/14/25 06:16:09 PM,10.93,73.44,,,,
128,06/14/25 06:31:09 PM,10.72,73.40,,,,
129,06/14/25 06:46:09 PM,11.51,73.40,,,,
130,06/14/25 07:01:09 PM,12.41,73.40,,,,
131,06/14/25 07:16:09 PM,12.12,73.36,,,,
132,06/14/25 07:31:09 PM,10.23,73.36,,,,
133,06/14/25 07:46:09 PM,9.85,73.40,,,,
134,06/14/25 08:01:09 PM,9.85,73.36,,,,
135,06/14/25 08:16:09 PM,9.89,73.36,,,,
136,06/14/25 08:31:09 PM,9.68,73.36,,,,
137,06/14/25 08:46:09 PM,12.18,73.36,,,,
138,06/14/25 09:01:09 PM,11.27,73.29,,,,
139,06/14/25 09:16:09 PM,11.35,73.36,,,,
140,06/14/25 09:31:09 PM,11.44,73.44,,,,
141,06/14/25 09:46:09 PM,11.19,73.40,,,,
142,06/14/25 10:01:09 PM,12.07,73.40,,,,
143,06/14/25 10:16:09 PM,10.95,73.47,,,,
144,06/14/25 10:31:09 PM,10.90,73.47,,,,
145,06/14/25 10:46:09 PM,10.88,73.44,,,,
146,06/14/25 11:01:09 PM,10.81,73.40,,,,
147,06/14/25 11:16:09 PM,10.70,73.36,,,,
148,06/14/25 11:31:09 PM,10.83,73.29,,,,
149,06/14/25 11:46:09 PM,10.83,73.26,,,,
150,06/15/25 12:01:09 AM,10.84,73.22,,,,
151,06/15/25 12:16:09 AM,10.70,73.18,,,,
152,06/15/25 12:31:09 AM,10.82,73.15,,,,
153,06/15/25 12:46:09 AM,10.75,73.11,,,,
154,06/15/25 01:01:09 AM,10.61,73.08,,,,
155,06/15/25 01:16:09 AM,10.65,73.08,,,,
156,06/15/25 01:31:09 AM,10.58,73.04,,,,
157,06/15/25 01:46:09 AM,10.51,73.00,,,,
158,06/15/25 02:01:09 AM,10.29,72.97,,,,
159,06/15/25 02:16:09 AM,10.09,72.93,,,,
160,06/15/25 02:31:09 AM,9.95,72.86,,,,
161,06/15/25 02:46:09 AM,10.10,72.86,,,,
162,06/15/25 03:01:09 AM,9.42,72.79,,,,
163,06/15/25 03:16:09 AM,9.37,72.75,,,,
164,06/15/25 03:31:09 AM,9.00,72.72,,,,
165,06/15/25 03:46:09 AM,9.40,72.68,,,,
166,06/15/25 04:01:09 AM,9.81,72.64,,,,
167,06/15/25 04:16:09 AM,9.73,72.64,,,,
168,06/15/25 04:31:09 AM,9.52,72.61,,,,
169,06/15/25 04:46:09 AM,9.54,72.57,,,,
170,06/15/25 05:01:09 AM,9.38,72.54,,,,
171,06/15/25 05:16:09 AM,9.37,72.50,,,,
172,06/15/25 05:31:09 AM,9.40,72.50,,,,
173,06/15/25 05:46:09 AM,9.37,72.46,,,,
174,06/15/25 06:01:09 AM,9.44,72.43,,,,
175,06/15/25 06:16:09 AM,9.28,72.43,,,,
176,06/15/25 06:31:09 AM,9.28,72.39,,,,
177,06/15/25 06:46:09 AM,9.25,72.36,,,,
178,06/15/25 07:01:09 AM,9.28,72.32,,,,
179,06/15/25 07:16:09 AM,9.16,72.32,,,,
180,06/15/25 07:31:09 AM,9.11,72.28,,,,
181,06/15/25 07:46:09 AM,9.29,72.28,,,,
182,06/15/25 08:01:09 AM,9.27,72.25,,,,
183,06/15/25 08:16:09 AM,9.17,72.25,,,,
184,06/15/25 08:31:09 AM,9.30,72.25,,,,
185,06/15/25 08:46:09 AM,8.88,72.25,,,,
186,06/15/25 09:01:09 AM,9.31,72.25,,,,
187,06/15/25 09:16:09 AM,9.23,72.25,,,,
188,06/15/25 09:31:09 AM,9.28,72.25,,,,
189,06/15/25 09:46:09 AM,9.17,72.25,,,,
190,06/15/25 10:01:09 AM,9.18,72.25,,,,
191,06/15/25 10:16:09 AM,9.16,72.21,,,,
192,06/15/25 10:31:09 AM,9.14,72.18,,,,
193,06/15/25 10:46:09 AM,9.03,72.10,,,,
194,06/15/25 11:01:09 AM,8.82,72.03,,,,
195,06/15/25 11:16:09 AM,8.79,72.03,,,,
196,06/15/25 11:31:09 AM,8.86,72.03,,,,
197,06/15/25 11:46:09 AM,8.33,72.00,,,,
198,06/15/25 12:01:09 PM,8.76,72.03,,,,
199,06/15/25 12:16:09 PM,9.19,72.03,,,,
200,06/15/25 12:31:09 PM,9.37,72.03,,,,
201,06/15/25 12:46:09 PM,9.29,72.07,,,,
202,06/15/25 01:01:09 PM,9.25,72.07,,,,
203,06/15/25 01:16:09 PM,9.40,72.14,,,,
204,06/15/25 01:31:09 PM,9.35,72.18,,,,
205,06/15/25 01:46:09 PM,9.02,72.21,,,,
206,06/15/25 02:01:09 PM,8.66,72.25,,,,
207,06/15/25 02:16:09 PM,9.69,72.28,,,,
208,06/15/25 02:31:09 PM,9.87,72.36,,,,
