"Plot Title: At EMF 7-3-25"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Temp, °F (LGR S/N: 21118650, SEN S/N: 21118650, LBL: CP - Sector 1)","Coupler Detached (LGR S/N: 21118650)","Coupler Attached (LGR S/N: 21118650)","Host Connected (LGR S/N: 21118650)","Stopped (LGR S/N: 21118650)","End Of File (LGR S/N: 21118650)"
1,07/03/25 11:23:02 AM,7.97,81.61,,,,,
2,07/03/25 11:24:17 AM,,,Logged,,,,
3,07/03/25 11:38:02 AM,8.94,82.00,,,,,
4,07/03/25 11:53:02 AM,8.82,81.68,,,,,
5,07/03/25 12:08:02 PM,8.43,81.64,,,,,
6,07/03/25 12:23:02 PM,8.65,81.68,,,,,
7,07/03/25 12:38:02 PM,8.53,81.79,,,,,
8,07/03/25 12:53:02 PM,8.57,81.82,,,,,
9,07/03/25 01:08:02 PM,8.16,81.75,,,,,
10,07/03/25 01:23:02 PM,8.32,81.72,,,,,
11,07/03/25 01:38:02 PM,6.33,81.68,,,,,
12,07/03/25 01:53:02 PM,4.59,80.82,,,,,
13,07/03/25 02:08:02 PM,5.42,80.60,,,,,
14,07/03/25 02:23:02 PM,5.57,80.56,,,,,
15,07/03/25 02:38:02 PM,6.28,80.71,,,,,
16,07/03/25 02:53:02 PM,6.89,80.96,,,,,
17,07/03/25 03:08:02 PM,7.68,81.18,,,,,
18,07/03/25 03:23:02 PM,7.72,81.25,,,,,
19,07/03/25 03:38:02 PM,7.68,81.28,,,,,
20,07/03/25 03:53:02 PM,7.61,81.36,,,,,
21,07/03/25 04:08:02 PM,8.06,81.50,,,,,
22,07/03/25 04:23:02 PM,8.01,81.43,,,,,
23,07/03/25 04:38:02 PM,7.92,81.39,,,,,
24,07/03/25 04:53:02 PM,7.51,81.36,,,,,
25,07/03/25 05:08:02 PM,6.73,81.21,,,,,
26,07/03/25 05:23:02 PM,7.12,81.07,,,,,
27,07/03/25 05:38:02 PM,7.65,81.43,,,,,
28,07/03/25 05:53:02 PM,6.84,81.25,,,,,
29,07/03/25 06:08:02 PM,7.61,81.46,,,,,
30,07/03/25 06:23:02 PM,7.74,82.22,,,,,
31,07/03/25 06:38:02 PM,8.30,82.40,,,,,
32,07/03/25 06:53:02 PM,8.00,82.29,,,,,
33,07/03/25 07:08:02 PM,8.09,82.29,,,,,
34,07/03/25 07:23:02 PM,8.41,82.33,,,,,
35,07/03/25 07:38:02 PM,8.40,82.26,,,,,
36,07/03/25 07:53:02 PM,7.89,82.08,,,,,
37,07/03/25 08:08:02 PM,8.37,82.15,,,,,
38,07/03/25 08:23:02 PM,7.99,82.04,,,,,
39,07/03/25 08:38:02 PM,8.23,81.90,,,,,
40,07/03/25 08:53:02 PM,7.90,81.97,,,,,
41,07/03/25 09:08:02 PM,8.39,81.93,,,,,
42,07/03/25 09:23:02 PM,8.41,81.90,,,,,
43,07/03/25 09:38:02 PM,8.30,81.79,,,,,
44,07/03/25 09:53:02 PM,8.20,81.75,,,,,
45,07/03/25 10:08:02 PM,8.15,81.68,,,,,
46,07/03/25 10:23:02 PM,8.20,81.64,,,,,
47,07/03/25 10:38:02 PM,8.16,81.57,,,,,
48,07/03/25 10:53:02 PM,8.23,81.50,,,,,
49,07/03/25 11:08:02 PM,8.12,81.46,,,,,
50,07/03/25 11:23:02 PM,8.08,81.39,,,,,
51,07/03/25 11:38:02 PM,7.97,81.36,,,,,
52,07/03/25 11:53:02 PM,8.00,81.28,,,,,
53,07/04/25 12:08:02 AM,7.98,81.25,,,,,
54,07/04/25 12:23:02 AM,7.94,81.18,,,,,
55,07/04/25 12:38:02 AM,7.88,81.10,,,,,
56,07/04/25 12:53:02 AM,7.80,81.07,,,,,
57,07/04/25 01:08:02 AM,7.86,81.03,,,,,
58,07/04/25 01:23:02 AM,7.38,80.96,,,,,
59,07/04/25 01:38:02 AM,7.87,80.92,,,,,
60,07/04/25 01:53:02 AM,7.79,80.89,,,,,
61,07/04/25 02:08:02 AM,7.66,80.82,,,,,
62,07/04/25 02:23:02 AM,7.71,80.74,,,,,
63,07/04/25 02:38:02 AM,7.66,80.67,,,,,
64,07/04/25 02:53:02 AM,7.44,80.64,,,,,
65,07/04/25 03:08:02 AM,7.48,80.60,,,,,
66,07/04/25 03:23:02 AM,7.53,80.53,,,,,
67,07/04/25 03:38:02 AM,7.50,80.49,,,,,
68,07/04/25 03:53:02 AM,7.53,80.42,,,,,
69,07/04/25 04:08:02 AM,7.50,80.35,,,,,
70,07/04/25 04:23:02 AM,7.52,80.28,,,,,
71,07/04/25 04:38:02 AM,7.51,80.24,,,,,
72,07/04/25 04:53:02 AM,7.52,80.17,,,,,
73,07/04/25 05:08:02 AM,7.45,80.13,,,,,
