"Plot Title: DOLogger2"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20906876, SEN S/N: 20906876)","Temp, °F (LGR S/N: 20906876, SEN S/N: 20906876)","Coupler Attached (LGR S/N: 20906876)","Host Connected (LGR S/N: 20906876)","Stopped (LGR S/N: 20906876)","End Of File (LGR S/N: 20906876)"
1,07/03/25 11:00:00 AM,7.48,85.75,,,,
2,07/03/25 11:15:00 AM,4.21,80.96,,,,
3,07/03/25 11:30:00 AM,2.94,80.31,,,,
4,07/03/25 11:45:00 AM,4.37,80.46,,,,
5,07/03/25 12:00:00 PM,4.04,80.60,,,,
6,07/03/25 12:15:00 PM,4.10,80.67,,,,
7,07/03/25 12:30:00 PM,4.98,80.60,,,,
8,07/03/25 12:45:00 PM,5.62,80.67,,,,
9,07/03/25 01:00:00 PM,6.53,80.85,,,,
10,07/03/25 01:15:00 PM,6.67,81.00,,,,
11,07/03/25 01:30:00 PM,7.17,81.18,,,,
12,07/03/25 01:45:00 PM,8.06,81.36,,,,
13,07/03/25 02:00:00 PM,8.22,81.64,,,,
14,07/03/25 02:15:00 PM,8.42,81.75,,,,
15,07/03/25 02:30:00 PM,8.33,81.82,,,,
16,07/03/25 02:45:00 PM,8.50,81.93,,,,
17,07/03/25 03:00:00 PM,7.96,81.93,,,,
18,07/03/25 03:15:00 PM,8.20,81.82,,,,
19,07/03/25 03:30:00 PM,8.31,81.90,,,,
20,07/03/25 03:45:00 PM,8.07,81.90,,,,
21,07/03/25 04:00:00 PM,7.81,81.79,,,,
22,07/03/25 04:15:00 PM,7.65,81.64,,,,
23,07/03/25 04:30:00 PM,7.61,81.46,,,,
24,07/03/25 04:45:00 PM,8.13,81.46,,,,
25,07/03/25 05:00:00 PM,8.08,81.64,,,,
26,07/03/25 05:15:00 PM,7.42,81.90,,,,
27,07/03/25 05:30:00 PM,6.96,81.72,,,,
28,07/03/25 05:45:00 PM,3.53,80.38,,,,
29,07/03/25 06:00:00 PM,4.61,80.49,,,,
30,07/03/25 06:15:00 PM,5.66,80.85,,,,
31,07/03/25 06:30:00 PM,6.82,81.28,,,,
32,07/03/25 06:45:00 PM,7.46,81.64,,,,
33,07/03/25 07:00:00 PM,7.77,82.22,,,,
34,07/03/25 07:15:00 PM,8.10,82.47,,,,
35,07/03/25 07:30:00 PM,6.85,82.22,,,,
36,07/03/25 07:45:00 PM,8.06,82.15,,,,
37,07/03/25 08:00:00 PM,7.84,82.08,,,,
